              Procedure           Image            Address        Calls Instructions
PyImport_ImportModule@plt _cobyla.x86_64-linux-gnu.so       7fca5419f160            1            1
     PyErr_Occurred@plt _cobyla.x86_64-linux-gnu.so       7fca5419f150            1            1
PyString_FromString@plt _cobyla.x86_64-linux-gnu.so       7fca5419f100            2            2
 PyErr_NewException@plt _cobyla.x86_64-linux-gnu.so       7fca5419f0d0            1            1
PyObject_GetAttrString@plt _cobyla.x86_64-linux-gnu.so       7fca5419efe0            1            1
  Py_InitModule4_64@plt _cobyla.x86_64-linux-gnu.so       7fca5419efd0            1            1
PyDict_SetItemString@plt _cobyla.x86_64-linux-gnu.so       7fca5419ef60            3            3
                  _init _cobyla.x86_64-linux-gnu.so       7fca5419eee0            1            6
          initmoduleTNC moduleTNC.x86_64-linux-gnu.so       7fca54423b50            1           49
                  .text moduleTNC.x86_64-linux-gnu.so       7fca54422f50            0           17
PyCObject_AsVoidPtr@plt moduleTNC.x86_64-linux-gnu.so       7fca54422ee0            1            1
PyImport_ImportModule@plt moduleTNC.x86_64-linux-gnu.so       7fca54422ea0            1            1
PyObject_GetAttrString@plt moduleTNC.x86_64-linux-gnu.so       7fca54422e30            1            1
  Py_InitModule4_64@plt moduleTNC.x86_64-linux-gnu.so       7fca54422e20            1            1
                  _init moduleTNC.x86_64-linux-gnu.so       7fca54422de8            1            6
PyFortranObject_NewAsAttr _lbfgsb.x86_64-linux-gnu.so       7fca5486ac30            1           20
            init_lbfgsb _lbfgsb.x86_64-linux-gnu.so       7fca5486a030            1           91
                  .text _lbfgsb.x86_64-linux-gnu.so       7fca54868920            0           17
         PyDict_New@plt _lbfgsb.x86_64-linux-gnu.so       7fca548688f0            1            1
PyImport_ImportModule@plt _lbfgsb.x86_64-linux-gnu.so       7fca54868800            1            1
 PyErr_NewException@plt _lbfgsb.x86_64-linux-gnu.so       7fca54868760            1            1
PyFortranObject_NewAsAttr@plt _lbfgsb.x86_64-linux-gnu.so       7fca54868710            1            1
PyObject_GetAttrString@plt _lbfgsb.x86_64-linux-gnu.so       7fca54868700            1            1
PyCObject_AsVoidPtr@plt _lbfgsb.x86_64-linux-gnu.so       7fca54868640            1            1
   PyModule_GetDict@plt _lbfgsb.x86_64-linux-gnu.so       7fca54868610            1            1
PyString_FromString@plt _lbfgsb.x86_64-linux-gnu.so       7fca548685f0            2            2
     PyErr_Occurred@plt _lbfgsb.x86_64-linux-gnu.so       7fca54868550            1            1
      _PyObject_New@plt _lbfgsb.x86_64-linux-gnu.so       7fca548684c0            1            1
  Py_InitModule4_64@plt _lbfgsb.x86_64-linux-gnu.so       7fca54868410            1            1
PyDict_SetItemString@plt _lbfgsb.x86_64-linux-gnu.so       7fca548683a0            3            3
                  _init _lbfgsb.x86_64-linux-gnu.so       7fca54868370            1            6
PyFortranObject_NewAsAttr minpack2.x86_64-linux-gnu.so       7fca54b1e890            2           40
           initminpack2 minpack2.x86_64-linux-gnu.so       7fca54b1dcb0            1          102
                  .text minpack2.x86_64-linux-gnu.so       7fca54b1cdf0            0           17
   PyModule_GetDict@plt minpack2.x86_64-linux-gnu.so       7fca54b1cd90            1            1
      _PyObject_New@plt minpack2.x86_64-linux-gnu.so       7fca54b1cd40            2            2
PyCObject_AsVoidPtr@plt minpack2.x86_64-linux-gnu.so       7fca54b1cd30            1            1
         PyDict_New@plt minpack2.x86_64-linux-gnu.so       7fca54b1cd10            2            2
PyFortranObject_NewAsAttr@plt minpack2.x86_64-linux-gnu.so       7fca54b1ccf0            2            2
PyImport_ImportModule@plt minpack2.x86_64-linux-gnu.so       7fca54b1ccb0            1            1
     PyErr_Occurred@plt minpack2.x86_64-linux-gnu.so       7fca54b1cca0            1            1
PyString_FromString@plt minpack2.x86_64-linux-gnu.so       7fca54b1cc60            2            2
